station	Xlamb	Ylamb	mnt	rugo	pent	ori	rgl	en10	ind_veg	dmer	dFor	dvil	Ttemp
84003002	847700	1880400	267	25	5	153	647	871	179	235	2	5	223
84005001	846400	1907300	767	15	5	236	629	929	130	337	3	80	192
84007002	804200	1882800	31	18	2	221	617	1022	200	210	6	22	234
84009002	864000	1870300	381	7	1	199	612	968	205	212	2	53	224
84014001	874600	1865000	255	9	0	365	603	943	72	216	2	45	221
84017006	838900	1909900	1401	26	9	157	682	1444	118	337	3	57	167
84020003	838800	1874700	263	15	2	317	588	966	187	208	4	34	225
84020004	838500	1878600	176	9	0	365	603	907	178	221	3	29	223
84025001	827500	1879800	154	6	1	265	604	940	188	207	7	44	227
84028001	808400	1916100	119	4	0	365	603	997	183	341	10	22	239
84031001	818100	1901800	103	9	0	365	603	984	169	286	9	12	234
84033001	853600	1876900	289	21	0	365	603	840	189	224	1	31	215
84035003	817000	1876500	70	4	0	365	603	998	180	185	5	8	229
84036001	807900	1884500	100	12	1	124	609	1076	183	216	3	33	241
84037002	798400	1900900	120	10	0	365	603	1090	198	285	1	18	240
84051001	834100	1881400	186	7	0	365	603	927	160	223	4	47	224
84054001	817000	1884300	55	6	0	365	603	984	178	216	10	39	230
84064001	787600	1926900	47	3	0	365	603	997	203	388	9	25	232
84082001	830500	1900900	361	18	0	365	603	944	194	292	2	51	222
84085003	833400	1886700	419	23	6	152	655	1045	208	241	4	57	228
84087001	801500	1907500	56	3	0	365	603	1021	93	309	11	13	237
84095001	842600	1863500	150	3	0	365	603	921	209	166	4	35	229
84107002	853400	1899600	838	11	0	365	603	976	34	313	3	83	181
84118001	844000	1885700	298	13	2	145	620	877	213	255	2	25	228
84121001	855000	1866600	323	15	0	365	603	979	183	185	5	21	221
84122002	811200	1901900	35	6	0	365	603	990	160	286	13	22	236
84123001	846400	1904100	795	13	1	201	612	961	129	326	2	91	198
84123004	845300	1901100	728	26	12	288	563	902	175	313	2	85	189
84125003	843200	1913500	520	23	5	308	571	697	140	355	1	52	198
84126001	813100	1915300	140	9	1	299	598	962	183	339	6	5	231
84133001	860000	1864400	301	18	4	332	567	972	178	184	5	25	218
84137001	817900	1921200	243	12	2	220	617	979	199	364	2	33	216
84138001	811200	1935700	226	7	0	365	603	964	154	420	9	2	220
84140001	847900	1868400	354	11	1	178	613	997	188	187	3	9	227
84150001	805100	1929500	144	3	0	365	603	1002	142	396	5	13	232
